latency,traffic,shipping service get quote response,cart service cart return type
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,default
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,bad product id
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,default,exception
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,default
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,bad product id
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,currency DNE,exception
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,default
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,bad product id
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,negative shipping quote value,exception
0,1,error,default
0,1,error,default
0,1,error,default
0,1,error,default
0,1,error,default
0,1,error,default
0,1,error,default
0,1,error,default
0,1,error,default
