service, best case response time, worst case response time, average response time, std dev response time, availability
Product Catalogue Service: Empty Request,0.000823036,0.001254414,0.0009490392999999998,0.00012519961526302704,1
Prouduct Catalogue Service: Get Product Request,0.000351129,0.000849264,0.0004902477,0.00015739112628356786,1
Product Catalogue Service: Search Product Request,0.000322056,0.00047132,0.00038024930000000003,4.315085891856616e-05,1
Recommendation List Service: Recommendation Request,0.002681325,0.007707332,0.0034300466,0.001446222882780673,1
Checkout Service: Place Order Request,0.215965696,0.457219099,0.36252823380000004,0.08171592235709552,1
Shipping Service: Get Quote Request,0.00096718,0.002113383,0.0012374324,0.0003052499634015375,1
Shipping Service: Ship Order Request,0.000711552,0.001638159,0.0012382056000000002,0.0002799647583308299,1
Currency Service: Currency Conversion Request,0.00236297,0.003970129,0.002851363,0.0004987517188044569,1
Currency Service: Empty Request,0.001534089,0.004805473,0.0028895509,0.0008552634052631329,1
Cart Service: Add Item Request,0.002433246,0.023778343,0.0055149055,0.006233614348890076,1
Cart Service: Get Cart Request,0.001216864,0.003693756,0.0019529473000000001,0.0006513466830072983,1
Cart Service: Empty Cart Request,0.001097968,0.001867127,0.0015187453999999999,0.00027776547407559494,1
Ad Service: Ad Request,0.009667094,0.066983812,0.02098206,0.018472589243284956,1
Payment Service: Charge Request,0.007147184,0.022098778,0.0111391471,0.004677825131137662,1
Email Service: Send Order Confirmation Request,0.0713545,0.605993086,0.31702057320000004,0.2034991611902874,1
Product Catalogue Service: Empty Request,0.000956981,0.003842589,0.0015072262,0.0007984074704645241,1
Prouduct Catalogue Service: Get Product Request,0.000459214,0.005799679,0.0011122424,0.0015638731331853108,1
Product Catalogue Service: Search Product Request,0.000393273,0.001035068,0.0006752988,0.0001653506625567615,1
Recommendation List Service: Recommendation Request,0.002502944,0.007784429,0.0036754326999999995,0.0015493390947604112,1
Checkout Service: Place Order Request,0.205471048,0.76341371,0.4876666378,0.13423010907013885,1
Shipping Service: Get Quote Request,0.000787637,0.001098362,0.0009472358,8.46319465247019e-05,1
Shipping Service: Ship Order Request,0.00068671,0.002330023,0.0010517246,0.00047587123367738885,1
Currency Service: Currency Conversion Request,0.001533232,0.003901861,0.0027453506000000003,0.0005349030412923823,1
Currency Service: Empty Request,0.002517747,0.005399344,0.0031860787,0.0008617815176818368,1
Cart Service: Add Item Request,0.001947076,0.519812675,0.0543892025,0.15514353241058357,1
Cart Service: Get Cart Request,0.001138541,0.002015045,0.0016060625000000003,0.0003211263501724049,1
Cart Service: Empty Cart Request,0.000893874,0.0035947,0.0015000676,0.0007573396971510474,1
Ad Service: Ad Request,5.6093e-05,18.640196673,1.9049406890999996,5.579105041600166,0.8
Payment Service: Charge Request,0.002357931,0.037302801,0.010382920399999999,0.013059530250154874,1
Email Service: Send Order Confirmation Request,0.05023166,0.530994168,0.2915571065999999,0.13425566152739485,1
Product Catalogue Service: Empty Request,0.000742337,0.001095019,0.0008878247000000001,0.00010611217930289624,1
Prouduct Catalogue Service: Get Product Request,0.000393176,0.000843504,0.0005434689000000001,0.00013013359146311915,1
Product Catalogue Service: Search Product Request,0.000336993,0.001008392,0.00048789009999999997,0.00018342970923350996,1
Recommendation List Service: Recommendation Request,0.002482084,0.004381273,0.0031942664000000004,0.0006579156360753557,1
Checkout Service: Place Order Request,0.160029629,0.663722502,0.4547256396,0.16408534134164315,1
Shipping Service: Get Quote Request,0.000831986,0.004693576,0.0013660847,0.001124449205783796,1
Shipping Service: Ship Order Request,0.000593356,0.002736618,0.0013108697,0.0006081094426374336,1
Currency Service: Currency Conversion Request,0.003078256,0.003763119,0.0033047406999999994,0.00020109606469995877,1
Currency Service: Empty Request,0.002873072,0.019220979,0.0056677279,0.004991885470231353,1
Cart Service: Add Item Request,0.001726936,0.003470393,0.0024586815999999997,0.0005622720167122316,1
Cart Service: Get Cart Request,0.000962676,0.002475977,0.0015929281,0.00044850047921121553,1
Cart Service: Empty Cart Request,0.000919173,0.001392296,0.0011908753,0.00015558931922921314,1
Ad Service: Ad Request,0.007607381,0.027306429,0.013680335400000002,0.005935450680515697,1
Payment Service: Charge Request,0.002545822,0.04153994,0.0074151724,0.011421288908621926,1
Email Service: Send Order Confirmation Request,0.070417336,0.761932257,0.3283345885,0.18307025982584002,1
Product Catalogue Service: Empty Request,0.000804569,0.002442783,0.0010911584,0.0004567678526083463,1
Prouduct Catalogue Service: Get Product Request,0.000334112,0.003304598,0.0007350106000000001,0.0008621107514156403,1
Product Catalogue Service: Search Product Request,0.000321988,0.00231484,0.0006318071999999999,0.000583505870060756,1
Recommendation List Service: Recommendation Request,0.002672891,0.006829956,0.0036186299,0.0012697203932227322,1
Checkout Service: Place Order Request,0.246961596,0.707855244,0.42944380200000004,0.14084913469957158,1
Shipping Service: Get Quote Request,0.00089175,0.001562396,0.0011402121999999999,0.00019361728789485716,1
Shipping Service: Ship Order Request,0.000786232,0.001849428,0.0012507737,0.00037028644120384695,1
Currency Service: Currency Conversion Request,0.00120154,0.003898828,0.0026708195000000002,0.0006485295276977371,1
Currency Service: Empty Request,0.001366039,0.007302896,0.0026932813999999998,0.0016064696298177068,1
Cart Service: Add Item Request,4.0599e-05,0.023729568,0.004867326699999999,0.006430867023985569,0.9
Cart Service: Get Cart Request,2.5386e-05,0.008082343,0.0025396596999999995,0.002181822018312954,0.9
Cart Service: Empty Cart Request,1.2313e-05,0.003927439,0.0018919677999999994,0.0009746938577676376,0.9
Ad Service: Ad Request,1.4131e-05,0.021971388,0.0094039515,0.006182381114526705,0.9
Payment Service: Charge Request,0.005240505,0.032424263,0.0104136271,0.008556432141955204,1
Email Service: Send Order Confirmation Request,0.182624522,0.604278246,0.38262606050000003,0.12332112487803863,1
Product Catalogue Service: Empty Request,0.000906024,0.003110705,0.0014132546,0.0005847965929851507,1
Prouduct Catalogue Service: Get Product Request,0.000497316,0.003002519,0.0010778318000000003,0.0007985057865451946,1
Product Catalogue Service: Search Product Request,0.000542241,0.002994017,0.0011434368000000001,0.0008784835354924758,1
Recommendation List Service: Recommendation Request,0.002306021,0.012464291,0.0046209154,0.0029640748102825,1
Checkout Service: Place Order Request,0.283349213,0.685638666,0.4931151745000001,0.14380620595333288,1
Shipping Service: Get Quote Request,0.000804746,0.002227743,0.0012734926999999998,0.00046642251230939746,1
Shipping Service: Ship Order Request,0.000654571,0.001669814,0.0009996925,0.0003161152525938127,1
Currency Service: Currency Conversion Request,0.00147501,0.007369663,0.0031978248,0.001568647331410843,1
Currency Service: Empty Request,0.002546074,0.032809481,0.006816956400000002,0.009127475253329282,1
Cart Service: Add Item Request,4.6327e-05,0.003275316,0.0025228863,0.0008521992049496467,0.9
Cart Service: Get Cart Request,1.1824e-05,0.002393593,0.0017811431000000003,0.0006353924567977574,0.9
Cart Service: Empty Cart Request,1.8879e-05,0.003454123,0.0015173276,0.000806829640790198,0.9
Ad Service: Ad Request,0.008335476,0.046731563,0.016179741400000003,0.012040858552403314,1
Payment Service: Charge Request,0.001989584,0.008996573,0.0041099037,0.0017413177418575307,1
Email Service: Send Order Confirmation Request,0.153223484,0.607174873,0.3807550827,0.14808076722839533,1
Product Catalogue Service: Empty Request,0.00076569,0.10023505,0.010891309200000001,0.029781483242341103,1
Prouduct Catalogue Service: Get Product Request,0.000347614,0.000828487,0.0004813186,0.00014114058299029376,1
Product Catalogue Service: Search Product Request,0.00034926,0.002550264,0.0006912905000000001,0.0006383092006833758,1
Recommendation List Service: Recommendation Request,0.002110315,0.004211258,0.0030812536999999997,0.0005399473227982615,1
Checkout Service: Place Order Request,0.205109976,0.738437683,0.4295992213,0.15439812284357882,1
Shipping Service: Get Quote Request,0.000833357,0.002425001,0.0011345314999999998,0.0004423070223056039,1
Shipping Service: Ship Order Request,0.000730654,0.003355795,0.0013021962999999997,0.0007345801951231806,1
Currency Service: Currency Conversion Request,0.002595636,0.018562742,0.0053562895999999995,0.004700069911041221,1
Currency Service: Empty Request,0.002506767,0.008483169,0.0043051089,0.00203243641077016,1
Cart Service: Add Item Request,0.001995402,0.010541298,0.0032973368999999995,0.002428122521285013,1
Cart Service: Get Cart Request,0.001065296,0.001978013,0.0016658407999999999,0.0002845106420891141,1
Cart Service: Empty Cart Request,0.000810316,0.00207008,0.0014499814,0.0003720368031496885,1
Ad Service: Ad Request,0.006970566,0.066584356,0.0167315113,0.01748248335025102,1
Payment Service: Charge Request,0.002537653,0.016999724,0.0048651531,0.004118499061529514,1
Email Service: Send Order Confirmation Request,0.318336027,0.560920833,0.43414745409999994,0.08621282805025053,1
Product Catalogue Service: Empty Request,0.000843112,0.001541911,0.0010617861,0.00019991770281815966,1
Prouduct Catalogue Service: Get Product Request,0.000358054,0.000753075,0.0005049685,0.00011941516431362475,1
Product Catalogue Service: Search Product Request,0.000314054,0.001259685,0.00047904619999999986,0.0002662297700674363,1
Recommendation List Service: Recommendation Request,0.002853462,0.004082073,0.0034200646,0.00033764644857104607,1
Checkout Service: Place Order Request,0.287613933,0.560681738,0.4048856998,0.10334221983096752,1
Shipping Service: Get Quote Request,0.000973682,0.002210923,0.0012424874000000002,0.0003389946192408369,1
Shipping Service: Ship Order Request,0.000716158,0.002223117,0.0010671211,0.00043784032378469897,1
Currency Service: Currency Conversion Request,0.002476588,0.007219924,0.0033820942,0.0013528553099160163,1
Currency Service: Empty Request,0.002453865,0.003047367,0.0027046284,0.00019844078485240884,1
Cart Service: Add Item Request,0.001952843,0.002765356,0.0024208716999999996,0.00021707991657223848,1
Cart Service: Get Cart Request,0.001169135,0.003152278,0.0018126322999999999,0.0005663844428236089,1
